"Date","State","Idle Time","Logger Notes","Charging State","Battery Level","Charger Limit SOC","Battery Range","Charge Energy Added","Charge Rate","Charger Phases","Charger Voltage","Charger Actual Current","Fast Charger Type","Power"
"8:17:15 PM","online","0","","Disconnected","3","100","8.44","0.31","0.0","","1","0","","37"
"8:17:54 PM","online","0","","Disconnected","3","100","7.99","0.31","0.0","","1","0","","2"
"8:18:15 PM","online","0","","Disconnected","3","100","7.99","0.31","0.0","","2","0","","2"
"8:18:55 PM","online","0","","Disconnected","3","100","7.99","0.31","0.0","","2","0","","20"
"8:19:16 PM","online","0","","Disconnected","3","100","7.99","0.31","0.0","","2","0","","3"
"8:19:53 PM","online","0","Driving->Idling @ No Tagged Location Found","Disconnected","3","100","7.99","0.31","0.0","","2","0","","2"
"8:20:54 PM","online","0","Idling->Charging","Charging","3","100","7.99","0.0","20.3","1","205","30","","-5"
"8:21:53 PM","online","0","","Charging","3","100","8.44","0.1","23.9","1","206","30","","-6"
"8:22:53 PM","online","0","","Charging","4","100","8.44","0.1","23.9","1","206","30","","-6"
"8:23:53 PM","online","0","","Charging","4","100","8.88","0.21","24.0","1","206","30","","-6"
"8:24:53 PM","online","0","","Charging","4","100","9.32","0.42","23.9","1","206","30","","-6"
"8:25:55 PM","online","0","","Charging","4","100","10.21","0.52","24.0","1","206","30","","-6"
"8:26:53 PM","online","0","","Charging","4","100","10.21","0.52","24.0","1","206","30","","-6"
"8:27:53 PM","online","0","","Charging","4","100","10.66","0.63","24.0","1","206","30","","-6"
"8:28:53 PM","online","0","","Charging","5","100","11.1","0.73","24.0","1","206","30","","-6"
"8:29:54 PM","online","0","","Charging","5","100","11.99","0.94","24.0","1","206","30","","-6"
"8:30:53 PM","online","0","","Charging","5","100","11.54","0.84","24.0","1","206","30","","-6"
"8:31:53 PM","online","0","","Charging","5","100","12.43","1.05","23.9","1","205","30","","-6"
"8:32:54 PM","online","0","","Charging","5","100","12.88","1.15","23.7","1","205","30","","-6"
"8:33:54 PM","online","0","","Charging","6","100","12.88","1.15","23.9","1","206","30","","-6"
"8:34:55 PM","online","0","","Charging","6","100","13.32","1.26","23.7","1","205","30","","-6"
"8:35:53 PM","online","0","","Charging","6","100","13.76","1.36","23.9","1","206","30","","-6"
"8:36:54 PM","online","0","","Charging","6","100","14.65","1.57","24.0","1","205","30","","-6"
"8:37:52 PM","online","0","","Charging","6","100","14.65","1.57","23.9","1","206","30","","-6"
"8:38:53 PM","online","0","","Charging","6","100","15.1","1.68","23.9","1","205","30","","-6"
"8:39:54 PM","online","0","","Charging","6","100","15.54","1.78","23.7","1","205","30","","-6"
"8:40:52 PM","online","0","","Charging","7","100","15.54","1.78","23.9","1","205","30","","-6"
"8:41:53 PM","online","0","","Charging","7","100","16.43","1.99","23.7","1","205","30","","-6"
"8:42:53 PM","online","0","","Charging","7","100","16.87","2.1","23.7","1","205","30","","-6"
"8:43:53 PM","online","0","","Charging","7","100","16.87","2.1","23.7","1","205","30","","-6"
"8:44:53 PM","online","0","","Charging","7","100","17.32","2.2","23.9","1","206","30","","-6"
"8:45:53 PM","online","0","","Charging","7","100","17.76","2.31","23.8","1","205","30","","-6"
"8:46:53 PM","online","0","","Charging","8","100","18.2","2.51","23.9","1","205","30","","-6"
"8:47:53 PM","online","0","","Charging","8","100","18.65","2.51","23.7","1","205","30","","-6"
"8:48:53 PM","online","0","","Charging","8","100","19.09","2.62","23.7","1","205","30","","-6"
"8:49:53 PM","online","0","","Charging","8","100","19.54","2.72","23.6","1","205","30","","-6"
"8:50:53 PM","online","0","","Charging","8","100","19.54","2.72","24.1","1","206","30","","-6"
